Country,WeGlide,OpenAIP,OpenAIP ID,OLC,Region,Launches,Launches 2015,Launches 2019,Wrong
CA,St Hyacinthe,ST HYACINTHE AIRPORT,147619,St Hyacinthe Que,QC,18,1,0,
CA,Roberval,ROBERVAL,147467,Roberval Pq,QC,10,8,3,
CA,Brantford,BRANTFORD,146504,Brantford On,ON,6,3,1,
CH,Birrfeld,BIRRFELD,161472,Birrfeld,,3960,2353,344,
CH,Schaenis,SCHÄNIS,161522,Schaenis,,3352,2112,395,
CH,Grenchen,GRENCHEN,161485,Grenchen,,2048,1027,185,
CH,Bad Ragaz,BAD RAGAZ,161466,Bad Ragaz,,1750,929,155,
CH,San Vittore,SAN VITTORE AIRPORT,161519,San Vittore,,1563,911,124,
CH,Samedan,SAMEDAN,161518,Samedan,,1489,718,133,
CH,Hausen am Albis,HAUSEN AM ALBIS,161489,Hausen am Albis,,1374,714,105,
CH,Langenthal,LANGENTHAL,161494,Langenthal,,1353,839,148,
CH,Münster,MUENSTER,161509,Münster,,1279,823,161,
CH,Schaffhausen,SCHAFFHAUSEN,161521,Schaffhausen,,1236,695,115,
CH,Dittingen,DITTINGEN,161478,Dittingen,,1169,786,187,
CH,Montricher,MONTRICHER,161507,Montricher,,1168,672,98,
CH,Zweisimmen,ZWEISIMMEN,161540,Zweisimmen,,1146,792,151,
CH,Bern-Belp,BERN-BELP,161469,Bern Belp,,1050,610,143,
CH,St Gallen-Altenrhein,ST GALLEN-ALTENRHEIN,161527,St Gallen Altenrhein,,928,585,111,
CH,Amlikon,AMLIKON,161464,Amlikon,,878,499,87,
CH,Saanen,SAANEN,161517,Saanen,,876,595,122,
CH,Kaegiswil,KAGISWIL,161492,Kaegiswil,,863,528,85,
CH,Winterthur,WINTERTHUR,161536,Winterthur,,843,377,84,
CH,Bellechasse,BELLECHASSE,161468,Bellechasse,,828,475,87,
CH,Buochs,BUOCHS,161475,Buochs,,825,515,97,
CH,Buttwil,BUTTWIL,161476,Buttwil,,818,558,69,
CH,Fricktal-Schupfart,FRICKTAL-SCHUPFART,161482,Fricktal Schupfart,,738,378,90,
CH,Courtelary,COURTELARY,161477,Courtelary,,710,469,108,
CH,Bex,BEX,161470,Bex,,656,427,83,
CH,Mollis,MOLLIS,161506,Mollis Mil,,636,363,61,
CH,Sion,SION,161524,Sion,,615,356,73,
CH,Thun,THUN,161531,Thun,,613,336,99,
CH,Gruyeres,GRUYERES,161486,Gruyeres,,591,383,123,
CH,Olten,OLTEN,161511,Olten,,585,271,34,
CH,Yverdon-Les-Bains,YVERDON-LES-BAINS,161538,Yverdon Les Bains,,429,270,23,
CH,Locarno,LOCARNO,161499,Locarno,,420,266,50,
CH,Luzern-Beromünster,LUZERN-BEROMUNSTER,161504,Luzern Beromuenster,,413,246,83,
CH,Neuchatel,NEUCHATEL,161510,Neuchatel,,208,132,25,
CH,Speck Fehraltorf,SPECK-FEHRALTORF,161526,Speck Fehraltorf,,133,90,31,
CH,Ambri,AMBRI,161463,Ambri,,126,54,1,
CH,Lodrino Air Base,LODRINO AIR BASE,161500,Lodrino Mil,,81,81,32,
CH,Biel Kappelen,BIEL-KAPPELEN,161471,Biel Kappelen,,73,70,16,
CH,Raron,RARON,161515,Raron,,70,8,4,
CH,Les Eplatures,LES EPLATURES,161497,Les Eplatures,,16,8,2,
CL,Municipal de Vitacura,MUNICIPAL DE VITACURA,148243,Munivitacura Pis,,6752,3640,620,
CL,Olmué,OLMUé,148246,Olmué - SCOM,,818,633,139,
CL,Los Andes San Ra,LAGUNA SAN RAFAEL,148181,Los Andes San Ra,,42,24,0,x
CL,Chicureo,CHICUREO,147988,Chicureo,,9,5,0,
CL,Huancará,HUANCARá,148144,Huancara,,9,9,0,
CL,Calama,EL LOA,148019,Calama,,7,7,7,
CL,San Pedro De Atacama,SAN PEDRO DE ATACAMA,148321,San Pedro De Ata,,6,6,6,
CO,Guaymaral,FLAMINIO SUáREZ CAMACHO,148740,Guaymaral,,10,5,4,
CZ,Mikulovice,MIKULOVICE,149520,Mikulovice,,1019,642,279,
CZ,Zbraslavice,ZBRASLAVICE,149643,Zbraslavice,,409,280,31,
CZ,Hosin,HOSIN,149497,Hosin,,356,331,0,
CZ,Hodkovice,HODKOVICE,149494,Hodkovice,,294,213,59,
CZ,Velke Porici,VELKE PORICI,149634,Velke Porici,,285,161,28,
CZ,Moravska Trebova,MORAVSKA TREBOVA,149524,Moravska Trebova,,277,275,16,
CZ,Rakovnik,RAKOVNIK,149543,Rakovnik,,220,127,22,
CZ,Dvur Kralove,DVUR KRALOVE,149490,Dvur Kralove,,216,110,24,
CZ,Kunovice,KUNOVICE,149513,Kunovice,,194,56,5,
CZ,Vrchlabi,VRCHLABI,149637,Vrchlabi,,188,109,0,
CZ,Stankov,STANKOV,149551,Stankov,,182,57,11,
CZ,Benesov,BENESOV,149477,Benesov,,172,138,10,
CZ,Rana,RANA,149544,Rana,,171,136,19,
CZ,Šumperk,SUMPERK,149555,Sumperk,,170,93,27,
CZ,Krnov,KRNOV,149511,Krnov,,160,87,21,
CZ,Pribyslav,PRIBYSLAV,149541,Pribyslav,,127,66,16,
CZ,Vyskov,VYSKOV,149638,Vyskov,,124,61,0,
CZ,Touzim,TOUZIM,149559,Touzim,,97,68,8,
CZ,Krizanov,KRIZANOV,149509,Krizanov,,95,60,2,
CZ,Jicin,JICIN,149502,Jicin,,91,49,4,
CZ,Tabor,TABOR,149556,Tabor,,86,73,1,
CZ,Policka,POLICKA,149536,Policka,,84,46,4,
CZ,Medlanky,MEDLANKY,149519,Medlanky,,72,26,1,
CZ,Pribram,PRIBRAM,149540,Pribram,,65,29,0,
CZ,Roudnice,ROUDNICE,149546,Roudnice n/Labem,,65,65,0,
CZ,Zamberk,ZAMBERK,149641,Zamberk,,62,44,14,
CZ,Havlickuv Brod,HAVLICKUV BROD,149493,Havlickuv Brod,,55,47,5,
CZ,Frydlant,FRYDLANT,149492,Frydlant,,49,32,8,
CZ,Podhorany,PODHORANY,149535,Podhorany,,47,26,1,
CZ,Horovice,HOROVICE,149496,Horovice,,44,9,0,
CZ,Most,MOST,149525,Most,,44,31,5,
CZ,Ústí nad Orlicí,USTI NAD ORLICI,149633,Usti n/Orlici,,39,28,0,
CZ,Chomutov,CHOMUTOV,149487,Chomutov,,36,17,2,
CZ,Plasy,PLASY,149533,Plasy,,36,30,0,
CZ,Kromeriz,KROMERIZ,149512,Kromeriz,,35,4,0,
CZ,Chotebor,CHOTEBOR,149488,Chotebor,,33,9,1,
CZ,Mlada Boleslav,MLADA BOLESLAV,149522,Mlada Boleslav,,32,11,0,
CZ,Letkov,LETKOV,149515,Letkov,,31,15,4,
CZ,Jihlava,JIHLAVA,149503,Jihlava,,30,10,0,
CZ,Breclav,BRECLAV,149479,Breclav,,26,22,1,
CZ,Olomouc,OLOMOUC,149527,Olomouc,,25,10,0,
CZ,Vysoke Myto,VYSOKE MYTO,149639,Vysoke Myto,,24,8,0,
CZ,Hranice,HRANICE,149500,Hranice,,22,14,3,
CZ,Liberec,LIBEREC,149517,Liberec,,20,14,7,
CZ,Horice,HORICE,149495,Horice,,18,5,0,
CZ,Cheb,CHEB,149485,Cheb,,16,0,0,
CZ,Klatovy,KLATOVY,149507,Klatovy,,15,13,4,
DE,Klix,KLIX,152599,Klix,SN,8029,4533,773,
DE,Unterwössen,UNTERWOESSEN,189813,Unterwössen,BY,7035,3975,780,
DE,Lüsse,LUESSE,152702,Luesse,BB,6883,3810,637,
DE,Aalen-Elchingen,AALEN-HEIDENHEIM/ELCHINGEN,151977,Aalen Heidenheim,BW,6764,4255,913,
DE,Hahnweide,HAHNWEIDE,152441,Hahnweide Kirch,BW,6402,3545,562,
DE,Ludwigshafen-Dannstadt,LUDWIGSHAFEN-DANNSTADT,152682,Ludwigshafen D.,RP,5350,3221,665,
DE,Königsdorf,KOENIGSDORF,152626,Königsdorf,BY,5333,3336,604,
DE,Oerlinghausen,OERLINGHAUSEN,152865,Oerlinghausen,NW,4877,2740,609,
DE,Boberg,BOBERG,190345,Boberg,HH,4572,2345,393,
DE,Bayreuth,BAYREUTH,152092,Bayreuth,BY,4362,2629,422,
DE,Riesa-Canitz,RIESA-CANITZ,152966,Riesa Canitz,SN,3875,2147,391,
DE,Zwickau,ZWICKAU,153242,Zwickau,SN,3745,2044,568,
DE,Klippeneck,KLIPPENECK,152598,Klippeneck,BW,3727,2571,624,
DE,Grosses Moor,GROSSES MOOR,152404,Grosses Moor,NI,3673,1806,269,
DE,Reinsdorf,REINSDORF,152949,Reinsdorf,BB,3653,2435,455,
DE,Brandenburg-Mühlenfeld,BRANDENBURG-MUEHLENFELD,152142,Brandenburg Mue,BB,3637,2152,351,
DE,Jena-Schöngleina,JENA-SCHOENGLEINA,152565,Jena Schöngleina,TH,3498,1829,177,
DE,Landau-Ebenberg,LANDAU-EBENBERG,152634,Landau Ebenberg,RP,3480,1722,254,
DE,Burg Feuerstein,BURG FEUERSTEIN,152168,Burg Feuerstein,BY,3407,2343,477,
DE,Winzeln-Schramberg,WINZELN-SCHRAMBERG,153203,Winzeln Schramberg,BW,3364,2006,360,
DE,Ohlstadt-Pömetsried,OHLSTADT-POEMETSRIED,187147,Ohlstadt-Pömetsried,BY,3327,2193,348,
DE,Marpingen,MARPINGEN,152721,Marpingen,SL,3209,1904,560,
DE,Stendal-Borstel,STENDAL-BORSTEL,153079,Stendal Borstel,ST,2948,1592,450,
DE,Neustadt-Glewe,NEUSTADT-GLEWE,152813,Neustadt Glewe,MV,2830,1598,270,
DE,Anspach-Taunus,ANSPACH/TAUNUS,152015,Anspach Taunus,HE,2793,1681,327,
DE,Lachen-Speyerdorf,LACHEN-SPEYERDORF,152630,Lachen Speyerdorf,RP,2727,1853,185,
DE,Wilsche,WILSCHE,153202,Wilsche,NI,2659,1497,317,
DE,Porta Westfalica,PORTA WESTFALICA,152928,Porta Westfalica,NW,2623,1220,408,
DE,Schwandorf,SCHWANDORF,153021,Schwandorf,BY,2590,1685,370,
DE,Wittstock-Berlinchen,WITTSTOCK-BERLINCHEN,153210,Witts Berlinchen,BB,2582,1477,308,
DE,Borkenberge,BORKENBERGE,152136,Borkenberge,NW,2573,1403,272,
DE,Scheuen,SCHEUEN,153006,Scheuen Celle,NI,2542,1291,196,
DE,Braunschweig,BRAUNSCHWEIG,152145,Braunschweig,NI,2472,1300,230,
DE,Wasserkuppe,WASSERKUPPE,153175,Wasserkuppe,HE,2471,1271,241,
DE,Hütten-Hotzenwald,HUETTEN-HOTZENWALD,152538,Hütten Hotzenwald,BW,2446,1482,297,
DE,Stillberghof,STILLBERGHOF,153080,Stillberghof,BY,2440,1332,179,
DE,Leverkusen,LEVERKUSEN,152672,Leverkusen,NW,2349,1204,224,
DE,Aachen-Merzbrück,AACHEN-MERZBRUECK,151975,Aachen Merzbrueck,NW,2340,1513,294,
DE,Nastätten,NASTAETTEN,189797,Nastaetten,RP,2321,1290,259,
DE,Langenfeld-Wiescheid,LANGENFELD-WIESCHEID,152640,Langenfeld Wiescheid,NW,2309,1369,251,
DE,Mönchsheide,MOENCHSHEIDE,152765,Moenchsheide,RP,2295,1551,266,
DE,Kamenz,KAMENZ,152573,Kamenz,SN,2279,1241,261,
DE,Bensheim,BENSHEIMER STADTWIESEN,152096,Bensheimer Stadt,HE,2226,1299,185,
DE,Grabenstetten,GRABENSTETTEN,152388,Grabenstetten,BW,2211,1265,173,
DE,Bronkow,BRONKOW,152159,Bronkow,BB,2015,1201,198,
DE,Farrenberg,FARRENBERG,152324,Farrenberg,BW,1989,1153,121,
DE,Erbach,ERBACH,152296,Erbach,BW,1987,1101,103,
DE,Beilngries,BEILNGRIES,152093,Beilngries,BY,1971,1303,233,
DE,Pirna,PIRNA,152919,Pirna,SN,1966,1244,282,
DE,Antersberg,ANTERSBERG,152035,Antersberg,BY,1948,1006,149,
DE,Eisenhüttenstadt,EISENHÜTTENSTADT,152281,Eisenhüttenstadt,BB,1948,1020,250,
DE,Leibertingen,LEIBERTINGEN,152656,Leibertingen,BW,1939,1003,178,
DE,Roitzschjora,ROITZSCHJORA,152971,Roitzschjora,SN,1939,688,57,
DE,Aue Bei Hattorf,AUE,152025,Aue Bei Hattorf,NI,1919,1240,181,
DE,Bamberg-Breitenau,BAMBERG,152080,Bamberg Breitenau,BY,1919,1077,197,
DE,Rheinstetten,RHEINSTETTEN,152961,Rheinstetten,BW,1880,1137,190,
DE,Wershofen,WERSHOFEN/EIFEL,153189,Wershofen Eifel,RP,1869,882,121,
DE,Hockenheim,HOCKENHEIM,152499,Hockenheim,BW,1863,796,97,
DE,Rinteln,RINTELN,152968,Rinteln,NI,1828,901,214,
DE,Stoelln/Rhinow,STOELLN/RHINOW,153091,Stoelln Rhinow,BB,1805,695,150,
DE,Blaubeuren,BLAUBEUREN,152121,Blaubeuren,BW,1784,930,134,
DE,Bad Neustadt,BAD NEUSTADT/SAALE-GRASBERG,152061,Bad Neustadt,BY,1750,959,212,
DE,Geratshof,GERATSHOF,152375,Geratshof,BY,1695,1042,229,
DE,Rotenburg/Wümme,ROTENBURG-WUEMME,152978,Rotenburg Wuemm,NI,1694,741,63,
DE,Grosse Hoehe,GROSSE HOEHE,152402,Grosse Hoehe,NI,1691,782,139,
DE,Musbach,MUSBACH,152754,Musbach,BW,1648,879,142,
DE,Achmer,ACHMER,151979,Achmer,NI,1647,1043,441,
DE,Hornberg,HORNBERG,152512,Hornberg,BW,1633,988,147,
DE,Schweinfurt-Süd,SCHWEINFURT-SUED,153027,Schweinfurt Süd,BY,1622,1117,292,
DE,Dettingen Teck,TECK,378796,Dettingen Teck,BW,1618,953,148,
DE,Walldürn,WALLDUERN,153166,Wallduern,BW,1611,1011,160,
DE,Radevormwald-Leye,RADEVORMWALD-LEYE,152938,Radevormwald Ley,NW,1593,888,170,
DE,Holzdorf,HOLZDORF,152508,Holzdorf Mil,BB,1586,944,328,
DE,Bonn-Hangelar,BONN-HANGELAR,152131,Bonn Hangelar,NW,1580,709,144,
DE,Dahlemer Binz,DAHLEMER BINZ,152219,Dahlemer Binz,NW,1573,942,214,
DE,Nordhorn-Lingen,NORDHORN-LINGEN,152834,Nordhorn Lingen,NI,1567,1042,135,
DE,Mannheim City,MANNHEIM CITY,152716,Mannheim City,BW,1562,856,162,
DE,Utscheid,UTSCHEID,189814,Utscheid,RP,1551,830,204,
DE,Grambeker Heide,GRAMBEKER HEIDE,152391,Grambeker Heide,SH,1548,782,99,
DE,Ober-Mörlen,OBER-MOERLEN,152849,Ober Moerlen,HE,1534,773,158,
DE,Tarmstedt,TARMSTEDT,153110,Tarmstedt,NI,1532,778,114,
DE,Erbendorf Schweißlohe,ERBENDORF-SCHWEISSLOHE,152298,Erbendorf Schweißloh,BY,1525,952,167,
DE,Fuessen,FUESSEN,152362,Fuessen,BY,1518,628,103,
DE,Langenlonsheim,LANGENLONSHEIM,152641,Langenlonsheim,RP,1514,783,145,
DE,Der Ring Schwalm,DER RING IN SCHWALMSTADT,152229,Der Ring Schwalm,HE,1509,946,181,
DE,Übersberg,UEBERSBERG,153244,Uebersberg,BW,1502,854,137,
DE,Dorsten am Kanal,DORSTEN AM KANAL,152267,Dorsten Kanal,NW,1491,650,125,
DE,Grefrath-Niershorst,GREFRATH-NIERSHORST,152394,Grefrath Niershorst,NW,1490,835,131,
DE,Stadtlohn-Vreden,STADTLOHN-VREDEN,153073,Stadtlohn Vreden,NW,1490,962,143,
DE,Hoepen,HOEPEN,189778,Hoepen,NI,1481,755,148,
DE,Krefeld-Egelsberg,KREFELD-EGELSBERG,152608,Krefeld Egelsberg,NW,1470,907,217,
DE,Eichstätt,EICHSTAETT,152278,Eichstaett,BY,1461,749,149,
DE,Oppershausen,OPPERSHAUSEN,152875,Oppershausen,NI,1423,913,210,
DE,Saal Kreuzberg,AM KREUZBERG,152007,Saal Kreuzberg,BY,1416,901,177,
DE,Bartholomä,BARTHOLOMAE-AMALIENHOF,152086,Bartholomä,BW,1412,838,195,
DE,Laichingen,LAICHINGEN,152633,Laichingen,BW,1387,768,173,
DE,Pirmasens,PIRMASENS,152918,Pirmasens,RP,1386,933,187,
DE,Bückeburg-Weinberg,BUECKEBURG-WEINBERG,152195,Bückeburg Weinberg,NI,1378,681,236,
DE,Offenburg-Baden,OFFENBURG,152869,Offenburg Baden,BW,1366,901,147,
DE,Rothenburg/Goerlitz,ROTHENBURG/GOERLITZ,152982,Rothenburg OL,SN,1360,757,32,
DE,Reinheim,REINHEIM,152948,Reinheim,HE,1357,758,184,
DE,Bergheim,BERGHEIM/ERFTKREIS,152185,Bergheim,NW,1353,917,168,
DE,Hodenhagen,HODENHAGEN,152500,Hodenhagen,NI,1348,607,106,
DE,Ithwiesen,ITHWIESEN,152556,Ithwiesen,NI,1345,555,78,
DE,Rudolstadt,RUDOLSTADT-GROSCHWITZ,152986,Rudolstadt,TH,1333,812,102,
DE,Gerstetten,GERSTETTEN,152377,Gerstetten,BW,1326,761,123,
DE,Pasewalk,PASEWALK,152898,Pasewalk,MV,1323,561,120,
DE,Pritzwalk-Sommersberg,PRITZWALK-SOMMERSBERG,152932,Pritzwalk Somm,BB,1314,1313,475,
DE,Borken-Hoxfeld,BORKEN-HOXFELD,152135,Borken Hoxfeld,NW,1301,651,150,
DE,Heppenheim,HEPPENHEIM,152480,Heppenheim,HE,1301,787,157,
DE,Der Dingel,DER DINGEL,195019,Der Dingel,HE,1282,638,86,
DE,Laucha,LAUCHA,152645,Laucha Dorndorf,ST,1282,837,160,
DE,Mengen-Hohenteng,MENGEN-HOHENTENGEN,152732,Mengen Hohenteng,BW,1262,445,59,
DE,Schwäbisch Hall,SCHWAEBISCH HALL,153033,Schwaebisch Hall,BW,1258,727,131,
DE,Kirchdorf Inn,KIRCHDORF/INN,152591,Kirchdorf Inn,BY,1248,488,103,
DE,Dinslaken,DINSLAKEN,152240,Dinslaken,NW,1247,710,150,
DE,Bergneustadt,BERGNEUSTADT/AUF DEM DUEMPEL,152101,Bergneustadt,NW,1242,733,128,
DE,Deckenpfronn,DECKENPFRONN,152263,Deckenpfronn Ege,BW,1230,630,87,
DE,Hersbruck,HERSBRUCK,152484,Hersbruck,BY,1215,723,158,
DE,Alkersleben,ARNSTADT-ALKERSLEBEN,152019,Alkersleben,TH,1212,774,257,
DE,Hoya,HOYA,152513,Hoya,NI,1206,610,109,
DE,Neuruppin,NEURUPPIN,152811,Neuruppin,BB,1202,592,82,
DE,Vielbrunn,VIELBRUNN,153151,Vielbrunn,HE,1182,607,98,
DE,Bad Sobernheim,BAD SOBERNHEIM-DOMBERG,152067,Bad Sobernheim D,RP,1176,745,192,
DE,Berliner Heide,BERLINER HEIDE,152216,Berliner Heide,NI,1168,625,152,
DE,Esslingen-Jägerhaus,ESSLINGEN-JAEGERHAUS,152312,Esslingen Jägerhaus,BW,1155,638,96,
DE,Augsburg,AUGSBURG,152030,Augsburg Mühlhausen,BY,1139,512,97,
DE,Baumerlenbach,BAUMERLENBACH,189750,Baumerlenbach,BW,1136,495,59,
DE,Möckmühl-Korb,MOECKMUEHL-KORB,189794,Moeckmuehl Korb,BW,1121,693,167,
DE,Lichtenfels,LICHTENFELS,152673,Lichtenfels,BY,1116,821,176,
DE,Albstadt-Degerfeld,ALBSTADT-DEGERFELD,151989,Albstadt Degerfeld,BW,1102,670,146,
DE,Weinheim,WEINHEIM/BERGSTRASSE,153180,Weinheim Bergstr,BW,1096,568,69,
DE,Giebelstadt,GIEBELSTADT,152378,Giebelstadt,BY,1094,539,100,
DE,Bad Neuenahr,BAD NEUENAHR-AHRWEILER,152060,Bad Neuenahr Ahr,RP,1089,443,78,
DE,Seckendorf,FUERTH-SECKENDORF,152361,Fuerth Seckendo,BY,1089,490,95,
DE,Sinsheim,SINSHEIM,153059,Sinsheim,BW,1084,616,109,
DE,Oberhinkofen,OBERHINKOFEN,152851,Oberhinkofen,BY,1068,533,99,
DE,Schwarzheide/Schipkau,SCHWARZHEIDE/SCHIPKAU,153022,Schwarzheide,BB,1063,609,132,
DE,Bad Berka,BAD BERKA,152042,Bad Berka,TH,1059,645,95,
DE,Bisperode-West,BISPERODE-WEST,152186,Bisperode West,NI,1054,506,132,
DE,Garbenheimer Wiesen,GARBENHEIMER WIESEN,189766,Garbenheimer Wiesen,HE,1047,777,242,
DE,Eggersdorf,EGGERSDORF,152276,Eggersdorf,BB,1034,639,136,
DE,Bad Frankenhausen,BAD FRANKENHAUSEN,152049,Bad Frankenhausn,TH,1033,483,97,
DE,Ummern,UMMERN,153146,Ummern,NI,1023,752,99,
DE,Altdorf Hagenhausen,ALTDORF-HAGENHAUSEN,151995,Altdorf Hagnhaus,BY,1019,595,111,
DE,Homberg/Ohm,HOMBERG/OHM II,152510,Homberg Ohm,HE,1013,542,58,
DE,Cham-Janahof,CHAM-JANAHOF,152202,Cham Janahof,BY,1008,589,116,
DE,Hilzingen,HILZINGEN,152496,Hilzingen,BW,993,503,114,
DE,Bad Wörishofen,BAD WOERISHOFEN,152070,Woerishofen Gld,BY,984,442,67,
DE,Ansbach-Petersdorf,ANSBACH-PETERSDORF,152014,Ansbach Petersd,BY,979,479,94,
DE,Gießen-Wieseck,GIEßEN WIESECK,152380,Giessen Wieseck,HE,978,486,81,
DE,Stüde-Bernsteinsee,STUEDE-BERNSTEINSEE,189810,Stüde Bernsteinsee,NI,971,613,201,
DE,Hellingst,HELLINGST,152353,Hellingst,NI,970,424,105,
DE,Schönebeck,SCHOENEBECK-ZACKMUENDE,153037,Schoenebeck,ST,969,615,129,
DE,Goch-Asperden,GOCH-ASPERDEN,152383,Goch Asperden,NW,959,485,91,
DE,Melle-Grönegau,MELLE-GROENEGAU,152727,Melle Groenegau,NI,954,629,97,
DE,Waren/Vielist,WAREN/VIELIST,153171,Waren Vielist,MV,952,373,92,
DE,Finsterwalde-Heinrichsruh,FINSTERWALDE/HEINRICHSRUH,152326,Finsterw Heinri,BB,949,614,101,
DE,Neresheim,NERESHEIM,152793,Neresheim,BW,946,584,119,
DE,Schwabach-Büchenbach,SCHWABACH-BUECHENBACH,153018,Schwabach Heidenberg,BY,937,543,64,
DE,Kammermark,KAMMERMARK,152574,Kammermark,BB,908,530,90,
DE,Hirzenhain,HIRZENHAIN,152498,Hirzenhain,HE,907,388,199,
DE,Meiersberg,MEIERSBERG,152724,Meiersberg,NW,903,483,63,
DE,Elz,ELZ,152288,Elz,HE,901,601,138,
DE,Reiselfingen,REISELFINGEN,152950,Reiselfingen,BW,900,564,121,
DE,Paterzell,PATERZELL,152900,Paterzell,BY,894,548,105,
DE,Amberg Rammertshof,AMBERG,152009,Amberg Rammertshof,BY,885,607,124,
DE,Zierenberg Dörnberg,ZIERENBERG A.D. DÖRNBERG,153237,Zierenberg Dornb,HE,868,527,96,
DE,Greiz-Obergrochlitz,GREIZ-OBERGROCHLITZ,152396,Greiz Obergroch,TH,862,558,56,
DE,Neumagen-Dhron,NEUMAGEN-DHRON,152806,Neumagen Dhron,RP,858,405,27,
DE,Oeventrop-Ruhrwiesen,OEVENTROP-RUHRWIESEN,152866,Oeventrop Ruhrwiesen,NW,858,430,79,
DE,Gelnhausen,GELNHAUSEN,152372,Gelnhausen,HE,857,388,123,
DE,Biberach Riss,BIBERACH A.D.RISS,152112,Biberach Riss,BW,849,477,62,
DE,Hellenhagen,HELLENHAGEN,189775,Hellenhagen,NI,834,509,149,
DE,Wülzburg,WUELZBURG,153229,Weissenburg,BY,832,477,75,
DE,Hetzleser Berg,HETZLESER BERG,152490,Hetzleser Berg,BY,830,533,69,
DE,Arnbruck,ARNBRUCK,152016,Arnbruck,BY,828,431,109,
DE,Moosburg a. d. Kippe,MOOSBURG AUF DER KIPPE,152746,Moosburg a. d. Kippe,BY,824,503,89,
DE,Gammelsdorf,GAMMELSDORF,152363,Gammelsdorf,BY,823,457,70,
DE,Kyritz,KYRITZ,152614,Kyritz,BB,814,372,54,
DE,Hayingen,HAYINGEN,152469,Hayingen,BW,810,577,145,
DE,Malsch,MALSCH,152713,Malsch,BW,808,406,77,
DE,Lechfeld,LECHFELD,152653,Lechfeld Mil,BY,807,485,78,
DE,Nardt,NARDT,152789,Nardt,SN,807,497,92,
DE,Großrückerswalde,GROSSRUECKERSWALDE,152405,Grossrueckerswal,SN,802,580,118,
DE,Stade,STADE,153072,Stade,NI,797,462,98,
DE,Lübeck Blankensee,LUEBECK-BLANKENSEE,152697,Lübeck Blankensee,SH,789,177,42,
DE,Kempten-Durach,KEMPTEN-DURACH,152587,Kempten Durach,BY,787,484,86,
DE,Dachau-Gröbenried,DACHAU-GROEBENRIED,152218,Dachau Gröbenried,BY,786,420,63,
DE,Aschaffenburg,ASCHAFFENBURG,152020,Aschaffenburg,BY,782,459,84,
DE,Münster Osnabrück,MUENSTER/OSNABRUECK,152783,Münster Osnabrück,NW,772,390,79,
DE,Anklam,ANKLAM,152013,Anklam,MV,771,497,112,
DE,Baden-Oos,BADEN-OOS,152074,Baden Baden Oos,BW,761,369,86,
DE,Flensburg,FLENSBURG,152328,Flensburg,SH,759,275,13,
DE,Hangensteinerhof,HANGENSTEINERHOF,152459,Hangensteinerhof,BW,752,411,68,
DE,Menden-Barge,MENDEN-BARGE,191138,Menden Barge,NW,746,478,96,
DE,Strausberg,STRAUSBERG,153086,Strausberg,BB,735,395,71,
DE,Idar-Oberstein,IDAR-OBERSTEIN,152559,Idar Oberstein,RP,729,542,115,
DE,Mainz Finthen,MAINZ/FINTHEN,152711,Mainz Finthen,RP,723,508,95,
DE,Freiburg,FREIBURG I.BR.,152340,Freiburg,BW,720,338,35,
DE,Weiden Oberpfalz,WEIDEN/OPF.,153176,Weiden Oberpfalz,BY,717,505,167,
DE,Werdohl Kuentrop,WERDOHL-KUENTROP,153187,Werdohl Kuentrop,NW,717,418,65,
DE,Betzdorf Kirchen,BETZDORF-KIRCHEN,152110,Betzdorf Kirchen,RP,710,479,82,
DE,Kronach Kreuzbe,KRONACH,152610,Kronach Kreuzbe,BY,708,359,69,
DE,Göpfersdorf,GOEPFERSDORF,152427,Goepfersdorf,TH,704,418,120,
DE,Völkleshofen,VOELKLESHOFEN,153161,Voelkleshofen L,BW,699,355,71,
DE,Auerbach,AUERBACH,152027,Auerbach,SN,698,421,84,
DE,Lünen-Lippeweiden,LUENEN-LIPPEWEIDEN,189793,Luenen Lippeweid,NW,692,488,102,
DE,Iserlohn Sümmern,ISERLOHN-SUEMMERN,189782,Iserlohn Suemmer,NW,687,386,92,
DE,Wahlstedt,WAHLSTEDT,153162,Wahlstedt,SH,687,380,46,
DE,Bohlenbergerfeld,BOHLENBERGERFELD,152128,Bohlenberger Fel,NI,683,383,69,
DE,Aukrug,AUKRUG,152038,Aukrug,SH,679,374,89,
DE,Uetersen-Heist,UETERSEN/HEIST,153137,Uetersen,SH,678,420,71,
DE,Ottengrüner Heide,OTTENGRUENER HEIDE,152884,Ottengrüner Heide,BY,665,353,66,
DE,Lüneburg,LUENEBURG,152700,Lueneburg,NI,664,469,87,
DE,Oehna-Zellendorf,OEHNA,152862,Oehna Zellendorf,BB,664,468,87,
DE,Bottenhorn,BOTTENHORN,152139,Bottenhorn,HE,662,370,91,
DE,Konz-Könen,KONZ-KOENEN,152604,Konz Koenen,RP,661,295,54,
DE,Soest/Bad Sassendorf,SOEST/BAD SASSENDORF,153060,Soest Bad Sassen,NW,654,307,26,
DE,Bruchsal,BRUCHSAL,152162,Bruchsal,BW,637,273,63,
DE,Ingolstadt Manching,INGOLSTADT/MANCHING,152550,Ingolstadt Manching,BY,627,326,44,
DE,Agathazell,AGATHAZELL,151981,Agathazell,BY,626,391,56,
DE,Daun-Senheld,DAUN-SENHELD,152224,Daun Senheld,RP,620,219,27,
